"sobrev" "classe" "genero" "idade" "tarifa" "porto"
"535" 0 "3a" "feminino" 30 8.6625 "S"
"536" 1 "2a" "feminino" 7 26.25 "S"
"537" 0 "1a" "masculino" 45 26.55 "S"
"538" 1 "1a" "feminino" 30 106.425 "C"
"539" 0 "3a" "masculino" NA 14.5 "S"
"540" 1 "1a" "feminino" 22 49.5 "C"
"541" 1 "1a" "feminino" 36 71 "S"
"542" 0 "3a" "feminino" 9 31.275 "S"
"543" 0 "3a" "feminino" 11 31.275 "S"
"544" 1 "2a" "masculino" 32 26 "S"
"545" 0 "1a" "masculino" 50 106.425 "C"
"546" 0 "1a" "masculino" 64 26 "S"
"547" 1 "2a" "feminino" 19 26 "S"
"548" 1 "2a" "masculino" NA 13.8625 "C"
"549" 0 "3a" "masculino" 33 20.525 "S"
"550" 1 "2a" "masculino" 8 36.75 "S"
"551" 1 "1a" "masculino" 17 110.8833 "C"
"552" 0 "2a" "masculino" 27 26 "S"
"553" 0 "3a" "masculino" NA 7.8292 "Q"
"554" 1 "3a" "masculino" 22 7.225 "C"
"555" 1 "3a" "feminino" 22 7.775 "S"
"556" 0 "1a" "masculino" 62 26.55 "S"
"557" 1 "1a" "feminino" 48 39.6 "C"
"558" 0 "1a" "masculino" NA 227.525 "C"
"559" 1 "1a" "feminino" 39 79.65 "S"
"560" 1 "3a" "feminino" 36 17.4 "S"
"561" 0 "3a" "masculino" NA 7.75 "Q"
"562" 0 "3a" "masculino" 40 7.8958 "S"
"563" 0 "2a" "masculino" 28 13.5 "S"
"564" 0 "3a" "masculino" NA 8.05 "S"
"565" 0 "3a" "feminino" NA 8.05 "S"
"566" 0 "3a" "masculino" 24 24.15 "S"
"567" 0 "3a" "masculino" 19 7.8958 "S"
"568" 0 "3a" "feminino" 29 21.075 "S"
"569" 0 "3a" "masculino" NA 7.2292 "C"
"570" 1 "3a" "masculino" 32 7.8542 "S"
"571" 1 "2a" "masculino" 62 10.5 "S"
"572" 1 "1a" "feminino" 53 51.4792 "S"
"573" 1 "1a" "masculino" 36 26.3875 "S"
"574" 1 "3a" "feminino" NA 7.75 "Q"
"575" 0 "3a" "masculino" 16 8.05 "S"
"576" 0 "3a" "masculino" 19 14.5 "S"
"577" 1 "2a" "feminino" 34 13 "S"
"578" 1 "1a" "feminino" 39 55.9 "S"
"579" 0 "3a" "feminino" NA 14.4583 "C"
"580" 1 "3a" "masculino" 32 7.925 "S"
"581" 1 "2a" "feminino" 25 30 "S"
"582" 1 "1a" "feminino" 39 110.8833 "C"
"583" 0 "2a" "masculino" 54 26 "S"
"584" 0 "1a" "masculino" 36 40.125 "C"
"585" 0 "3a" "masculino" NA 8.7125 "C"
"586" 1 "1a" "feminino" 18 79.65 "S"
"587" 0 "2a" "masculino" 47 15 "S"
"588" 1 "1a" "masculino" 60 79.2 "C"
"589" 0 "3a" "masculino" 22 8.05 "S"
"590" 0 "3a" "masculino" NA 8.05 "S"
"591" 0 "3a" "masculino" 35 7.125 "S"
"592" 1 "1a" "feminino" 52 78.2667 "C"
"593" 0 "3a" "masculino" 47 7.25 "S"
"594" 0 "3a" "feminino" NA 7.75 "Q"
"595" 0 "2a" "masculino" 37 26 "S"
"596" 0 "3a" "masculino" 36 24.15 "S"
"597" 1 "2a" "feminino" NA 33 "S"
"598" 0 "3a" "masculino" 49 0 "S"
"599" 0 "3a" "masculino" NA 7.225 "C"
"600" 1 "1a" "masculino" 49 56.9292 "C"
"601" 1 "2a" "feminino" 24 27 "S"
"602" 0 "3a" "masculino" NA 7.8958 "S"
"603" 0 "1a" "masculino" NA 42.4 "S"
"604" 0 "3a" "masculino" 44 8.05 "S"
"605" 1 "1a" "masculino" 35 26.55 "C"
"606" 0 "3a" "masculino" 36 15.55 "S"
"607" 0 "3a" "masculino" 30 7.8958 "S"
"608" 1 "1a" "masculino" 27 30.5 "S"
"609" 1 "2a" "feminino" 22 41.5792 "C"
"610" 1 "1a" "feminino" 40 153.4625 "S"
"611" 0 "3a" "feminino" 39 31.275 "S"
"612" 0 "3a" "masculino" NA 7.05 "S"
"613" 1 "3a" "feminino" NA 15.5 "Q"
"614" 0 "3a" "masculino" NA 7.75 "Q"
"615" 0 "3a" "masculino" 35 8.05 "S"
"616" 1 "2a" "feminino" 24 65 "S"
"617" 0 "3a" "masculino" 34 14.4 "S"
"618" 0 "3a" "feminino" 26 16.1 "S"
"619" 1 "2a" "feminino" 4 39 "S"
"620" 0 "2a" "masculino" 26 10.5 "S"
"621" 0 "3a" "masculino" 27 14.4542 "C"
"622" 1 "1a" "masculino" 42 52.5542 "S"
"623" 1 "3a" "masculino" 20 15.7417 "C"
"624" 0 "3a" "masculino" 21 7.8542 "S"
"625" 0 "3a" "masculino" 21 16.1 "S"
"626" 0 "1a" "masculino" 61 32.3208 "S"
"627" 0 "2a" "masculino" 57 12.35 "Q"
"628" 1 "1a" "feminino" 21 77.9583 "S"
"629" 0 "3a" "masculino" 26 7.8958 "S"
"630" 0 "3a" "masculino" NA 7.7333 "Q"
"631" 1 "1a" "masculino" 80 30 "S"
"632" 0 "3a" "masculino" 51 7.0542 "S"
"633" 1 "1a" "masculino" 32 30.5 "C"
"634" 0 "1a" "masculino" NA 0 "S"
"635" 0 "3a" "feminino" 9 27.9 "S"
"636" 1 "2a" "feminino" 28 13 "S"
"637" 0 "3a" "masculino" 32 7.925 "S"
"638" 0 "2a" "masculino" 31 26.25 "S"
"639" 0 "3a" "feminino" 41 39.6875 "S"
"640" 0 "3a" "masculino" NA 16.1 "S"
"641" 0 "3a" "masculino" 20 7.8542 "S"
"642" 1 "1a" "feminino" 24 69.3 "C"
"643" 0 "3a" "feminino" 2 27.9 "S"
"644" 1 "3a" "masculino" NA 56.4958 "S"
"645" 1 "3a" "feminino" 0 19.2583 "C"
"646" 1 "1a" "masculino" 48 76.7292 "C"
"647" 0 "3a" "masculino" 19 7.8958 "S"
"648" 1 "1a" "masculino" 56 35.5 "C"
"649" 0 "3a" "masculino" NA 7.55 "S"
"650" 1 "3a" "feminino" 23 7.55 "S"
"651" 0 "3a" "masculino" NA 7.8958 "S"
"652" 1 "2a" "feminino" 18 23 "S"
"653" 0 "3a" "masculino" 21 8.4333 "S"
"654" 1 "3a" "feminino" NA 7.8292 "Q"
"655" 0 "3a" "feminino" 18 6.75 "Q"
"656" 0 "2a" "masculino" 24 73.5 "S"
"657" 0 "3a" "masculino" NA 7.8958 "S"
"658" 0 "3a" "feminino" 32 15.5 "Q"
"659" 0 "2a" "masculino" 23 13 "S"
"660" 0 "1a" "masculino" 58 113.275 "C"
"661" 1 "1a" "masculino" 50 133.65 "S"
"662" 0 "3a" "masculino" 40 7.225 "C"
"663" 0 "1a" "masculino" 47 25.5875 "S"
"664" 0 "3a" "masculino" 36 7.4958 "S"
"665" 1 "3a" "masculino" 20 7.925 "S"
"666" 0 "2a" "masculino" 32 73.5 "S"
"667" 0 "2a" "masculino" 25 13 "S"
"668" 0 "3a" "masculino" NA 7.775 "S"
"669" 0 "3a" "masculino" 43 8.05 "S"
"670" 1 "1a" "feminino" NA 52 "S"
"671" 1 "2a" "feminino" 40 39 "S"
"672" 0 "1a" "masculino" 31 52 "S"
"673" 0 "2a" "masculino" 70 10.5 "S"
"674" 1 "2a" "masculino" 31 13 "S"
"675" 0 "2a" "masculino" NA 0 "S"
"676" 0 "3a" "masculino" 18 7.775 "S"
"677" 0 "3a" "masculino" 24 8.05 "S"
"678" 1 "3a" "feminino" 18 9.8417 "S"
"679" 0 "3a" "feminino" 43 46.9 "S"
"680" 1 "1a" "masculino" 36 512.3292 "C"
"681" 0 "3a" "feminino" NA 8.1375 "Q"
"682" 1 "1a" "masculino" 27 76.7292 "C"
"683" 0 "3a" "masculino" 20 9.225 "S"
"684" 0 "3a" "masculino" 14 46.9 "S"
"685" 0 "2a" "masculino" 60 39 "S"
"686" 0 "2a" "masculino" 25 41.5792 "C"
"687" 0 "3a" "masculino" 14 39.6875 "S"
"688" 0 "3a" "masculino" 19 10.1708 "S"
"689" 0 "3a" "masculino" 18 7.7958 "S"
"690" 1 "1a" "feminino" 15 211.3375 "S"
"691" 1 "1a" "masculino" 31 57 "S"
"692" 1 "3a" "feminino" 4 13.4167 "C"
"693" 1 "3a" "masculino" NA 56.4958 "S"
"694" 0 "3a" "masculino" 25 7.225 "C"
"695" 0 "1a" "masculino" 60 26.55 "S"
"696" 0 "2a" "masculino" 52 13.5 "S"
"697" 0 "3a" "masculino" 44 8.05 "S"
"698" 1 "3a" "feminino" NA 7.7333 "Q"
"699" 0 "1a" "masculino" 49 110.8833 "C"
"700" 0 "3a" "masculino" 42 7.65 "S"
"701" 1 "1a" "feminino" 18 227.525 "C"
"702" 1 "1a" "masculino" 35 26.2875 "S"
"703" 0 "3a" "feminino" 18 14.4542 "C"
"704" 0 "3a" "masculino" 25 7.7417 "Q"
"705" 0 "3a" "masculino" 26 7.8542 "S"
"706" 0 "2a" "masculino" 39 26 "S"
"707" 1 "2a" "feminino" 45 13.5 "S"
"708" 1 "1a" "masculino" 42 26.2875 "S"
"709" 1 "1a" "feminino" 22 151.55 "S"
"710" 1 "3a" "masculino" NA 15.2458 "C"
"711" 1 "1a" "feminino" 24 49.5042 "C"
"712" 0 "1a" "masculino" NA 26.55 "S"
"713" 1 "1a" "masculino" 48 52 "S"
"714" 0 "3a" "masculino" 29 9.4833 "S"
"715" 0 "2a" "masculino" 52 13 "S"
"716" 0 "3a" "masculino" 19 7.65 "S"
"717" 1 "1a" "feminino" 38 227.525 "C"
"718" 1 "2a" "feminino" 27 10.5 "S"
"719" 0 "3a" "masculino" NA 15.5 "Q"
"720" 0 "3a" "masculino" 33 7.775 "S"
"721" 1 "2a" "feminino" 6 33 "S"
"722" 0 "3a" "masculino" 17 7.0542 "S"
"723" 0 "2a" "masculino" 34 13 "S"
"724" 0 "2a" "masculino" 50 13 "S"
"725" 1 "1a" "masculino" 27 53.1 "S"
"726" 0 "3a" "masculino" 20 8.6625 "S"
"727" 1 "2a" "feminino" 30 21 "S"
"728" 1 "3a" "feminino" NA 7.7375 "Q"
"729" 0 "2a" "masculino" 25 26 "S"
"730" 0 "3a" "feminino" 25 7.925 "S"
"731" 1 "1a" "feminino" 29 211.3375 "S"
"732" 0 "3a" "masculino" 11 18.7875 "C"
"733" 0 "2a" "masculino" NA 0 "S"
"734" 0 "2a" "masculino" 23 13 "S"
"735" 0 "2a" "masculino" 23 13 "S"
"736" 0 "3a" "masculino" 28 16.1 "S"
"737" 0 "3a" "feminino" 48 34.375 "S"
"738" 1 "1a" "masculino" 35 512.3292 "C"
"739" 0 "3a" "masculino" NA 7.8958 "S"
"740" 0 "3a" "masculino" NA 7.8958 "S"
"741" 1 "1a" "masculino" NA 30 "S"
"742" 0 "1a" "masculino" 36 78.85 "S"
"743" 1 "1a" "feminino" 21 262.375 "C"
"744" 0 "3a" "masculino" 24 16.1 "S"
"745" 1 "3a" "masculino" 31 7.925 "S"
"746" 0 "1a" "masculino" 70 71 "S"
"747" 0 "3a" "masculino" 16 20.25 "S"
"748" 1 "2a" "feminino" 30 13 "S"
"749" 0 "1a" "masculino" 19 53.1 "S"
"750" 0 "3a" "masculino" 31 7.75 "Q"
"751" 1 "2a" "feminino" 4 23 "S"
"752" 1 "3a" "masculino" 6 12.475 "S"
"753" 0 "3a" "masculino" 33 9.5 "S"
"754" 0 "3a" "masculino" 23 7.8958 "S"
"755" 1 "2a" "feminino" 48 65 "S"
"756" 1 "2a" "masculino" 0 14.5 "S"
"757" 0 "3a" "masculino" 28 7.7958 "S"
"758" 0 "2a" "masculino" 18 11.5 "S"
"759" 0 "3a" "masculino" 34 8.05 "S"
"760" 1 "1a" "feminino" 33 86.5 "S"
"761" 0 "3a" "masculino" NA 14.5 "S"
"762" 0 "3a" "masculino" 41 7.125 "S"
"763" 1 "3a" "masculino" 20 7.2292 "C"
"764" 1 "1a" "feminino" 36 120 "S"
"765" 0 "3a" "masculino" 16 7.775 "S"
"766" 1 "1a" "feminino" 51 77.9583 "S"
"767" 0 "1a" "masculino" NA 39.6 "C"
"768" 0 "3a" "feminino" 30 7.75 "Q"
"769" 0 "3a" "masculino" NA 24.15 "Q"
"770" 0 "3a" "masculino" 32 8.3625 "S"
"771" 0 "3a" "masculino" 24 9.5 "S"
"772" 0 "3a" "masculino" 48 7.8542 "S"
"773" 0 "2a" "feminino" 57 10.5 "S"
"774" 0 "3a" "masculino" NA 7.225 "C"
"775" 1 "2a" "feminino" 54 23 "S"
"776" 0 "3a" "masculino" 18 7.75 "S"
"777" 0 "3a" "masculino" NA 7.75 "Q"
"778" 1 "3a" "feminino" 5 12.475 "S"
"779" 0 "3a" "masculino" NA 7.7375 "Q"
"780" 1 "1a" "feminino" 43 211.3375 "S"
"781" 1 "3a" "feminino" 13 7.2292 "C"
"782" 1 "1a" "feminino" 17 57 "S"
"783" 0 "1a" "masculino" 29 30 "S"
"784" 0 "3a" "masculino" NA 23.45 "S"
"785" 0 "3a" "masculino" 25 7.05 "S"
"786" 0 "3a" "masculino" 25 7.25 "S"
"787" 1 "3a" "feminino" 18 7.4958 "S"
"788" 0 "3a" "masculino" 8 29.125 "Q"
"789" 1 "3a" "masculino" 1 20.575 "S"
"790" 0 "1a" "masculino" 46 79.2 "C"
"791" 0 "3a" "masculino" NA 7.75 "Q"
"792" 0 "2a" "masculino" 16 26 "S"
"793" 0 "3a" "feminino" NA 69.55 "S"
"794" 0 "1a" "masculino" NA 30.6958 "C"
"795" 0 "3a" "masculino" 25 7.8958 "S"
"796" 0 "2a" "masculino" 39 13 "S"
"797" 1 "1a" "feminino" 49 25.9292 "S"
"798" 1 "3a" "feminino" 31 8.6833 "S"
"799" 0 "3a" "masculino" 30 7.2292 "C"
"800" 0 "3a" "feminino" 30 24.15 "S"
"801" 0 "2a" "masculino" 34 13 "S"
"802" 1 "2a" "feminino" 31 26.25 "S"
"803" 1 "1a" "masculino" 11 120 "S"
"804" 1 "3a" "masculino" 0 8.5167 "C"
"805" 1 "3a" "masculino" 27 6.975 "S"
"806" 0 "3a" "masculino" 31 7.775 "S"
"807" 0 "1a" "masculino" 39 0 "S"
"808" 0 "3a" "feminino" 18 7.775 "S"
"809" 0 "2a" "masculino" 39 13 "S"
"810" 1 "1a" "feminino" 33 53.1 "S"
"811" 0 "3a" "masculino" 26 7.8875 "S"
"812" 0 "3a" "masculino" 39 24.15 "S"
"813" 0 "2a" "masculino" 35 10.5 "S"
"814" 0 "3a" "feminino" 6 31.275 "S"
"815" 0 "3a" "masculino" 30 8.05 "S"
"816" 0 "1a" "masculino" NA 0 "S"
"817" 0 "3a" "feminino" 23 7.925 "S"
"818" 0 "2a" "masculino" 31 37.0042 "C"
"819" 0 "3a" "masculino" 43 6.45 "S"
"820" 0 "3a" "masculino" 10 27.9 "S"
"821" 1 "1a" "feminino" 52 93.5 "S"
"822" 1 "3a" "masculino" 27 8.6625 "S"
"823" 0 "1a" "masculino" 38 0 "S"
"824" 1 "3a" "feminino" 27 12.475 "S"
"825" 0 "3a" "masculino" 2 39.6875 "S"
"826" 0 "3a" "masculino" NA 6.95 "Q"
"827" 0 "3a" "masculino" NA 56.4958 "S"
"828" 1 "2a" "masculino" 1 37.0042 "C"
"829" 1 "3a" "masculino" NA 7.75 "Q"
"830" 1 "1a" "feminino" 62 80 "O"
"831" 1 "3a" "feminino" 15 14.4542 "C"
"832" 1 "2a" "masculino" 0 18.75 "S"
"833" 0 "3a" "masculino" NA 7.2292 "C"
"834" 0 "3a" "masculino" 23 7.8542 "S"
"835" 0 "3a" "masculino" 18 8.3 "S"
"836" 1 "1a" "feminino" 39 83.1583 "C"
"837" 0 "3a" "masculino" 21 8.6625 "S"
"838" 0 "3a" "masculino" NA 8.05 "S"
"839" 1 "3a" "masculino" 32 56.4958 "S"
"840" 1 "1a" "masculino" NA 29.7 "C"
"841" 0 "3a" "masculino" 20 7.925 "S"
"842" 0 "2a" "masculino" 16 10.5 "S"
"843" 1 "1a" "feminino" 30 31 "C"
"844" 0 "3a" "masculino" 34 6.4375 "C"
"845" 0 "3a" "masculino" 17 8.6625 "S"
"846" 0 "3a" "masculino" 42 7.55 "S"
"847" 0 "3a" "masculino" NA 69.55 "S"
"848" 0 "3a" "masculino" 35 7.8958 "C"
"849" 0 "2a" "masculino" 28 33 "S"
"850" 1 "1a" "feminino" NA 89.1042 "C"
"851" 0 "3a" "masculino" 4 31.275 "S"
"852" 0 "3a" "masculino" 74 7.775 "S"
"853" 0 "3a" "feminino" 9 15.2458 "C"
"854" 1 "1a" "feminino" 16 39.4 "S"
"855" 0 "2a" "feminino" 44 26 "S"
"856" 1 "3a" "feminino" 18 9.35 "S"
"857" 1 "1a" "feminino" 45 164.8667 "S"
"858" 1 "1a" "masculino" 51 26.55 "S"
"859" 1 "3a" "feminino" 24 19.2583 "C"
"860" 0 "3a" "masculino" NA 7.2292 "C"
"861" 0 "3a" "masculino" 41 14.1083 "S"
"862" 0 "2a" "masculino" 21 11.5 "S"
"863" 1 "1a" "feminino" 48 25.9292 "S"
"864" 0 "3a" "feminino" NA 69.55 "S"
"865" 0 "2a" "masculino" 24 13 "S"
"866" 1 "2a" "feminino" 42 13 "S"
"867" 1 "2a" "feminino" 27 13.8583 "C"
"868" 0 "1a" "masculino" 31 50.4958 "S"
"869" 0 "3a" "masculino" NA 9.5 "S"
"870" 1 "3a" "masculino" 4 11.1333 "S"
"871" 0 "3a" "masculino" 26 7.8958 "S"
"872" 1 "1a" "feminino" 47 52.5542 "S"
"873" 0 "1a" "masculino" 33 5 "S"
"874" 0 "3a" "masculino" 47 9 "S"
"875" 1 "2a" "feminino" 28 24 "C"
"876" 1 "3a" "feminino" 15 7.225 "C"
"877" 0 "3a" "masculino" 20 9.8458 "S"
"878" 0 "3a" "masculino" 19 7.8958 "S"
"879" 0 "3a" "masculino" NA 7.8958 "S"
"880" 1 "1a" "feminino" 56 83.1583 "C"
"881" 1 "2a" "feminino" 25 26 "S"
"882" 0 "3a" "masculino" 33 7.8958 "S"
"883" 0 "3a" "feminino" 22 10.5167 "S"
"884" 0 "2a" "masculino" 28 10.5 "S"
"885" 0 "3a" "masculino" 25 7.05 "S"
"886" 0 "3a" "feminino" 39 29.125 "Q"
"887" 0 "2a" "masculino" 27 13 "S"
"888" 1 "1a" "feminino" 19 30 "S"
"889" 0 "3a" "feminino" NA 23.45 "S"
"890" 1 "1a" "masculino" 26 30 "C"
"891" 0 "3a" "masculino" 32 7.75 "Q"
